ccode	year	coup1	coup2	coup3	coup4	date1	date2	date3	date4	version
2	1950	0	0	0	0					"V2013.07.10"
2	1951	0	0	0	0					"V2013.07.10"
2	1952	0	0	0	0					"V2013.07.10"
2	1953	0	0	0	0					"V2013.07.10"
2	1954	0	0	0	0					"V2013.07.10"
2	1955	0	0	0	0					"V2013.07.10"
2	1956	0	0	0	0					"V2013.07.10"
2	1957	0	0	0	0					"V2013.07.10"
2	1958	0	0	0	0					"V2013.07.10"
2	1959	0	0	0	0					"V2013.07.10"
2	1960	0	0	0	0					"V2013.07.10"
2	1961	0	0	0	0					"V2013.07.10"
2	1962	0	0	0	0					"V2013.07.10"
2	1963	0	0	0	0					"V2013.07.10"
2	1964	0	0	0	0					"V2013.07.10"
2	1965	0	0	0	0					"V2013.07.10"
2	1966	0	0	0	0					"V2013.07.10"
2	1967	0	0	0	0					"V2013.07.10"
2	1968	0	0	0	0					"V2013.07.10"
2	1969	0	0	0	0					"V2013.07.10"
2	1970	0	0	0	0					"V2013.07.10"
2	1971	0	0	0	0					"V2013.07.10"
2	1972	0	0	0	0					"V2013.07.10"
2	1973	0	0	0	0					"V2013.07.10"
2	1974	0	0	0	0					"V2013.07.10"
2	1975	0	0	0	0					"V2013.07.10"
2	1976	0	0	0	0					"V2013.07.10"
2	1977	0	0	0	0					"V2013.07.10"
2	1978	0	0	0	0					"V2013.07.10"
2	1979	0	0	0	0					"V2013.07.10"
2	1980	0	0	0	0					"V2013.07.10"
2	1981	0	0	0	0					"V2013.07.10"
2	1982	0	0	0	0					"V2013.07.10"
2	1983	0	0	0	0					"V2013.07.10"
2	1984	0	0	0	0					"V2013.07.10"
2	1985	0	0	0	0					"V2013.07.10"
2	1986	0	0	0	0					"V2013.07.10"
2	1987	0	0	0	0					"V2013.07.10"
2	1988	0	0	0	0					"V2013.07.10"
2	1989	0	0	0	0					"V2013.07.10"
2	1990	0	0	0	0					"V2013.07.10"
2	1991	0	0	0	0					"V2013.07.10"
2	1992	0	0	0	0					"V2013.07.10"
2	1993	0	0	0	0					"V2013.07.10"
2	1994	0	0	0	0					"V2013.07.10"
2	1995	0	0	0	0					"V2013.07.10"
2	1996	0	0	0	0					"V2013.07.10"
2	1997	0	0	0	0					"V2013.07.10"
2	1998	0	0	0	0					"V2013.07.10"
2	1999	0	0	0	0					"V2013.07.10"
2	2000	0	0	0	0					"V2013.07.10"
2	2001	0	0	0	0					"V2013.07.10"
2	2002	0	0	0	0					"V2013.07.10"
2	2003	0	0	0	0					"V2013.07.10"
2	2004	0	0	0	0					"V2013.07.10"
2	2005	0	0	0	0					"V2013.07.10"
2	2006	0	0	0	0					"V2013.07.10"
2	2007	0	0	0	0					"V2013.07.10"
2	2008	0	0	0	0					"V2013.07.10"
2	2009	0	0	0	0					"V2013.07.10"
2	2010	0	0	0	0					"V2013.07.10"
2	2011	0	0	0	0					"V2013.07.10"
2	2012	0	0	0	0					"V2013.07.10"
2	2013	0	0	0	0					"V2013.07.10"
20	1950	0	0	0	0					"V2013.07.10"
20	1951	0	0	0	0					"V2013.07.10"
20	1952	0	0	0	0					"V2013.07.10"
20	1953	0	0	0	0					"V2013.07.10"
20	1954	0	0	0	0					"V2013.07.10"
20	1955	0	0	0	0					"V2013.07.10"
20	1956	0	0	0	0					"V2013.07.10"
20	1957	0	0	0	0					"V2013.07.10"
20	1958	0	0	0	0					"V2013.07.10"
20	1959	0	0	0	0					"V2013.07.10"
20	1960	0	0	0	0					"V2013.07.10"
20	1961	0	0	0	0					"V2013.07.10"
20	1962	0	0	0	0					"V2013.07.10"
20	1963	0	0	0	0					"V2013.07.10"
20	1964	0	0	0	0					"V2013.07.10"
20	1965	0	0	0	0					"V2013.07.10"
20	1966	0	0	0	0					"V2013.07.10"
20	1967	0	0	0	0					"V2013.07.10"
20	1968	0	0	0	0					"V2013.07.10"
20	1969	0	0	0	0					"V2013.07.10"
20	1970	0	0	0	0					"V2013.07.10"
20	1971	0	0	0	0					"V2013.07.10"
20	1972	0	0	0	0					"V2013.07.10"
20	1973	0	0	0	0					"V2013.07.10"
20	1974	0	0	0	0					"V2013.07.10"
20	1975	0	0	0	0					"V2013.07.10"
20	1976	0	0	0	0					"V2013.07.10"
20	1977	0	0	0	0					"V2013.07.10"
20	1978	0	0	0	0					"V2013.07.10"
20	1979	0	0	0	0					"V2013.07.10"
20	1980	0	0	0	0					"V2013.07.10"
20	1981	0	0	0	0					"V2013.07.10"
20	1982	0	0	0	0					"V2013.07.10"
20	1983	0	0	0	0					"V2013.07.10"
